id,title,genres,year,keywords,cast,director,vote_average,release_date,popularity
232711,Khauff,"Action, Thriller",2000,,"Sanjay Dutt, Manisha Koirala, Raveena Tandon",Sanjay Gupta,4.4,2000-03-02,1.0033
1046688,Apurva,"Crime, Thriller",2023,"kidnapping, road thriller, runaway woman, crime","Tara Sutaria, Dhairya Karwa, Abhishek Banerjee",Nikhil Nagesh Bhat,5.7,2023-11-15,1.0027
621005,Prassthanam,"Action, Drama",2019,,"Sanjay Dutt, Jackie Shroff, Ali Fazal",Deva Katta,6.5,2019-09-20,1.0016
166017,Saudagar,Drama,1991,love affair,"Dilip Kumar, Raaj Kumar, Vivek Mushran",Subhash Ghai,6.8,1991-08-09,1.3786
24603,All the Best: Fun Begins,"Action, Comedy, Music",2009,"mistaken identity, plan gone wrong, debt","Ajay Devgn, Sanjay Dutt, Fardeen Khan",Rohit Shetty,6.1,2009-10-16,1.3498
850180,Lost,Drama,2023,,"Yami Gautam, Pankaj Kapur, Rahul Khanna",Aniruddha Roy Chowdhury,5.2,2023-02-16,0.9999
19703,A Wednesday!,"Drama, Thriller",2008,"police, bomb, al qaeda, bomb threat","Anupam Kher, Naseeruddin Shah, Jimmy Shergill",Neeraj Pandey,7.0,2008-09-05,1.5553
458151,Dastak,"Romance, Drama",1996,,"Sushmita Sen, Mukul Dev, Sharad S. Kapoor",Mahesh Bhatt,5.3,1996-11-29,0.9993
205212,Bewafaa,Drama,2005,,"Anil Kapoor, Akshay Kumar, Kareena Kapoor Khan",Dharmesh Darshan,4.4,2005-02-25,0.9992
621003,Laal Kaptaan,"Drama, Action",2019,"bounty hunter, sadhu","Saif Ali Khan, Deepak Dobriyal, Zoya Hussain",Navdeep Singh,7.0,2019-10-18,0.9988
303904,Ungli,"Thriller, Comedy, Drama",2014,,"Emraan Hashmi, Kangana Ranaut, Sanjay Dutt",Renzil D'Silva,5.6,2014-11-28,1.3252
44566,Anjaana Anjaani,"Comedy, Drama, Romance",2010,"new york city, suicide attempt, road trip, romance, love, hospital, las vegas, san francisco","Priyanka Chopra Jonas, Ranbir Kapoor, Zayed Khan",Siddharth Anand,6.0,2010-09-24,0.998
812834,My Mother's Girlfriend,"Drama, Romance",2024,,"Sushama Deshpande, Anju Alva Naik, Suhas Sirsat",Arun Fulara,6.5,2024-03-09,0.997
393429,Hera Pheri 3,Comedy,,,"Akshay Kumar, Suniel Shetty, Paresh Rawal",Priyadarshan,0.0,,0.9966
662231,Hacked,Thriller,2020,,"Hina Khan, Rohan Shah, Mohit Malhotra",Vikram Bhatt,5.9,2020-02-07,0.996
211277,Dhaai Akshar Prem Ke,"Romance, Drama",2000,,"Abhishek Bachchan, Aishwarya Rai Bachchan, Amrish Puri",Raj Kanwar,5.9,2000-07-29,0.9953
41188,Bhagam Bhag,"Comedy, Thriller, Romance",2006,,"Akshay Kumar, Govinda, Paresh Rawal",Priyadarshan,6.5,2006-12-22,1.4336
444011,Simran,"Drama, Crime, Thriller",2017,"maid, bank robbery","Kangana Ranaut, Sohum Shah, Esha Tewari",Hansal Mehta,4.9,2017-09-15,0.9934
161412,Sangdil Sanam,"Action, Crime",1994,,"Salman Khan, Manisha Koirala, Kiran Kumar",Shomu Mukherjee,4.5,1994-02-02,0.9916
